icao,"name",lat,lon,runways,ils
EGXW,"Raf Waddington",53.17216662,-000.52379842,1,1
EGYD,"Raf Cranwell",53.03328995,-000.48665704,3,1
EGYM,"Raf Marham",52.64820766,000.56659090,2,1
EGYP,"Mount Pleasant",-51.81994125,-058.44779778,2,1
EHAM,"Schiphol",52.30753254,004.76253725,6,7
EHBD,"Budel",51.25718700,005.60195000,1,1
EHBK,"Maastricht",50.91230400,005.76963900,1,1
EHEH,"Eindhoven",51.45113800,005.37451400,1,1
EHGG,"Eelde",53.12864731,006.58791630,2,1
EHGR,"Gilze Rijen",51.56835200,004.93171800,2,1
EHKD,"De Kooy",52.92448400,004.78062900,1,1
EHLE,"Lelystad Airport",52.45593600,005.51780700,2,1
EHLW,"Leeuwarden",53.2269995,5.75393075,2,2
EHRD,"Rotterdam The Hague",51.94892942,004.43408635,1,1
EHSB,"Soesterberg",52.12820400,005.27648300,1,1
EHVK,"Volkel",51.66124828,005.70533437,3,1
EHWO,"Woensdrecht",51.44657500,004.34214200,1,1
EICK,"Cork",51.84386592,-008.49781766,2,2
EICM,"Galway",53.30164919,-008.94148145,1,2
EIDL,"Donegal",55.03815689,-008.34263663,1,1
EIDW,"Dublin",53.42843802,-006.26207848,3,4
EIKN,"Ireland West Airport Knock",53.91337309,-008.81126143,1,1
EIKY,"Kerry",52.18130811,-009.53690243,2,1
EIME,"Baldonnel Casement",53.30553879,-006.44180282,2,1
EINN,"Shannon",52.69544916,-008.92810746,5,1
EIWF,"Waterford",52.18866953,-007.08100522,1,1
EKAH,"Aarhus",56.30088400,010.61697000,2,2
EKBI,"Billund",55.73782984,009.16289353,2,2
EKCH,"Kastrup",55.61180300,012.65762757,3,6
EKEB,"Esbjerg",55.52155400,008.54871500,1,2
EKKA,"Karup Int",56.2991064,9.1106182,5,2
EKOD,"Odense",55.47529068,10.33326332,2,1
EKRK,"Copenhagen Roskilde Int",55.59004300,012.12973300,2,2
EKRN,"Bornholm Ronne",55.06938498,014.74870998,1,2
EKSB,"Sonderborg",54.96282918,9.79402345,1,1
EKSN,"Sindal",57.50456095,010.22279130,1,1
EKSP,"Vojens Skrydstrup [mil]",55.2200735,9.2662615,2,1
EKTS,"Thisted",57.06879861,8.70522361,1,1
EKVG,"Vagar",62.06544100,-007.27991500,1,2
EKVJ,"Stauning",55.990122,8.35390714,1,1
EKYT,"Aalborg",57.09020100,009.86495300,2,1
ELLX,"Luxembourg",49.62833794,006.20654120,1,2
ENAL,"Alesund Lufthavn - Vigra",62.55816871,006.11434582,1,1
ENAN,"Andoya",69.29200339,016.13457310,2,1
ENAT,"Alta",69.977351,23.365433,1,1
ENBL,"Bringeland",61.39084889,005.76338914,1,2
ENBN,"Bronnoy",65.46083944,012.21317681,1,1
ENBO,"Bodo",67.268487,14.356773,1,2
ENBR,"Bergen Lufthavn Flesland",60.29248751,005.22707297,1,2
ENBS,"Batsfjord",70.60292797,029.69624167,1,1
ENCN,"Kristiansand Lufthavn Kjevik",58.20190933,008.07393575,1,2
ENDU,"Bardufoss",69.05929600,018.54178500,1,2
ENEV,"Evenes",68.4913,16.6781085,1,1
ENFG,"Leirin",61.0113055,9.2931985,1,1
ENFL,"Floro",61.58546125,005.02526228,1,1
ENGM,"Oslo Gardermoen",60.19286148,011.09803992,2,4
ENHD,"Haugesund Lufthavn Karmoy",59.34486629,005.21580003,1,1
ENHF,"Hammerfest",70.68007863,023.67538886,1,2
ENHK,"Hasvik",70.486286,22.141839,1,1
ENHV,"Honningsvaag Valan",71.00884200,025.97913600,1,1
ENKB,"Kvernberget",63.11065300,007.82430600,1,1
ENKR,"Hoybuktmoen",69.7252152,29.89079978,1,1
ENLI,"Lista",58.0997095,6.6260195,1,1
ENML,"Molde Aro",62.74369292,007.26678651,1,2
ENMS,"Kjaerstad",65.7839975,13.214914,1,1
ENNA,"Banak",70.0688125,24.973489,1,2
ENNK,"Narvik Framnes",68.4369354,17.386673,1,1
ENNO,"Notodden",59.56550700,009.21910900,1,1
ENOL,"Orland",63.70583000,009.61255300,1,2
ENOV,"Orsta-volda Hovden",62.18062600,006.08180200,1,1
ENRA,"Mo I Rana Rossvoll",66.36496000,014.30252400,1,1
ENRO,"Roros",62.5791445,11.344735,1,1
ENRY,"Rygge",59.378793,10.7854265,1,1
ENSB,"Svalbard Longyear",78.24680500,015.49548700,1,2
ENSG,"Sogndal Haukasen",61.15579166,7.13627777,1,2
ENSN,"Geiteryggen",59.1850275,9.567075,1,1
ENSO,"Stord Sorstokken",59.79257578,005.34250971,1,1
ENST,"Stokka",65.95921239,012.47458026,1,1
ENTC,"Tromso Langnes",69.68318437,018.91068242,1,2
ENTO,"Torp",59.1866625,10.2585955,1,2
ENVA,"Vaernes",63.45515289,010.91983723,1,2
ENZV,"Stavanger Lufthavn Sola",58.88662035,005.63091020,2,3
EPBY,"Bydgoszcz Szwederowo",53.09402300,017.99666800,4,1
EPGD,"Lech Walesa",54.38013800,018.47843400,1,1
EPKK,"Balice",50.07330100,019.78722700,1,1
EPKT,"Pyrzowice",50.47133400,019.07515600,1,1
EPLL,"Lodz Lublinek",51.72728343,019.40390324,2,1
EPPO,"Lawica",52.41449000,016.83809000,1,1
EPRZ,"Jasionka",50.11514200,022.02868800,2,1
EPSC,"Goleniow",53.58739000,014.90696000,1,1
EPSY,"Szymany",53.4797305,20.936497,1,1
EPWA,"Warszawa Okecie",52.17290000,020.96977100,2,2
EPWR,"Strachowice",51.10677000,016.88616000,1,1
ESCF,"Linkoping Malmen",58.3993985,15.52670975,2,1
ESDF,"Ronneby",56.26171500,015.27578500,2,1
ESGG,"Goteborg Landvetter",57.66504711,012.29633650,1,2
ESGJ,"Jonkoping",57.75058400,014.07025600,2,1
ESGL,"Lidkoping",58.465522,13.174415,1,1
ESGP,"Goteborg Save",57.77723700,011.88282500,2,1
ESGR,"Skovde",58.4563795,13.972632,1,1
ESGT,"Trollhattan Vanersborg",58.31749700,012.35053900,1,1
ESIB,"Satenas",58.44054400,012.70262100,2,1
ESKM,"Mora",60.957907,14.511383,1,1
ESKN,"Stockholm Skavsta",58.78572100,016.91843800,2,2
ESMK,"Kristianstad",55.92438500,014.08111400,1,1
ESMO,"Oskarshamn",57.3488375,16.497707,1,1
ESMQ,"Kalmar",56.67820700,016.28681800,2,1
ESMS,"Malmo Sturup",55.53810500,013.36438300,2,2
ESMT,"Halmstad",56.69054000,012.82535400,1,1
ESMX,"Vaxjo Kronoberg",56.92549900,014.73141200,1,2
ESND,"Sveg",62.047729,14.4210305,1,1
ESNG,"Gallivare",67.13592500,020.81192200,1,1
ESNK,"Kramfors Solleftea",63.04959500,017.76885600,1,2
ESNL,"Lycksele",64.5495695,18.7140265,1,2
ESNN,"Sundsvall Harnosand/midlanda",62.52874400,017.44422000,1,2
ESNO,"Ornskoldsvik",63.41113300,018.99118600,1,1
ESNQ,"Kiruna",67.82535600,020.33309600,1,1
ESNS,"Skelleftea",64.62577100,021.07686800,1,1
ESNU,"Umea",63.79282800,020.28276100,1,2
ESNV,"Vilhelmina",64.579082,16.833575,1,1
ESNX,"Arvidsjaur",65.59101900,019.26797700,1,2
ESNY,"Soderhamn",61.261082,17.0978805,2,1
ESNZ,"Are Ostersund",63.19389700,014.48836374,1,1
ESOE,"Orebro",59.22713500,015.04629300,1,2
ESOH,"Hagfors",60.0200625,13.578907,1,1
ESOK,"Karlstad",59.44250500,013.34113900,2,2
ESOW,"Vasteras",59.58788308,016.62317642,1,1
ESPA,"Lulea Kallax",65.54315900,022.11432500,1,2
ESSA,"Stockholm Arlanda",59.64925243,017.93358576,3,6
ESSB,"Bromma",59.35550518,017.94768031,1,2
ESSD,"Borlange",60.43012600,015.50503200,2,1
ESSF,"Hultsfred",57.525749,15.8239475,1,1
ESSK,"Gavle",60.593133,16.9512225,1,1
ESSL,"Linkoping Saab",58.40399600,015.67871100,1,2
ESSP,"Norrkoping Kungsangen",58.58354600,016.23528700,2,1
ESST,"Torsby",60.1573735,12.991474,1,2
ESSU,"Eskilstuna",59.34939600,016.70491600,1,1
ESSV,"Visby",57.66083900,018.33852800,2,1
ESTA,"Angelholm",56.28964281,012.84394883,1,1
ESTL,"Ljungbyhed",56.083992875,13.2117595,4,1
ESUD,"Storuman",64.960893,17.6966935,1,1
ESUP,"Pajala",67.24456000,023.08539200,1,1
ESUT,"Hemavan",65.805675,15.083265,1,1
ETAD,"Spangdahlem Ab",49.976542,6.6985085,1,2
ETAR,"Ramstein Ab",49.44398000,007.59036400,2,3
ETHN,"Niederstetten",49.3918335,9.9581665,1,1
ETMN,"Nordholz",53.76463919,008.65755087,1,1
ETND,"Diepholz",52.57879706,008.33155545,1,1
ETNG,"Geilenkirchen",50.9608335,6.04175,1,1
ETNH,"Hohn",54.3121655,9.538168,1,1
ETNL,"Laage",53.91222400,012.29993600,1,2
ETNU,"Neubrandenburg",53.60668900,013.30014400,1,1
ETNW,"Wunstorf",52.4549166666667,9.42802766666667,3,1
ETSA,"Landsberg Lech",48.07647300,010.90274500,1,1
ETSH,"Holzdorf",51.76561700,013.18029500,1,1
ETSI,"Ingolstadt Manching",48.71429400,011.53226000,2,1
EVRA,"Riga Intl",56.92243900,023.98030100,1,1
EYKA,"Kaunas Intl",54.96690300,024.07696100,1,2
EYPA,"Palanga Intl",55.9731155,21.093811,1,1
EYSA,"Siauliai Intl",55.89289675,23.39381725,2,2
EYVI,"Vilnius Intl",54.6341665,25.28579609,1,2
F45,"North Palm Beach Co Gen Avn",26.846323,-80.220735,3,1
FACT,"Cape Town International",-33.96906800,018.59523500,2,2
FADN,"Durban Intl",-29.96654900,030.94268000,1,2
FAEL,"East London",-33.03791400,027.82828100,2,2
FAGG,"George",-34.00453200,022.37851500,1,2
FAJS,"Johannesburg Or Thambo Intl",-26.13263800,028.23224700,2,3
FAKN,"Kruger Mpumalanga Intl",-25.38108600,031.09980000,1,1
FALA,"Lanseria",-25.93526500,027.92481400,2,1
FALW,"Langebaanweg",-32.97149700,018.15363900,4,1
FAMM,"Mafikeng",-25.79687700,025.54096000,1,1
FAPE,"Port Elizabeth",-33.98403900,025.61154400,3,2
FAWK,"Waterkloof Afb",-25.82485400,028.21676300,2,1
FEFF,"Bangui M Poko",04.39314990,018.52500920,1,1
FGSL,"Malabo",3.755267,8.708717,1,1
FIMP,"Sir Seewoosagur Ramgoolam Intl",-20.4302345,57.6836015,1,1
FJDG,"Diego Garcia Nsf",-7.313268,72.41109,1,1
FKKD,"Douala",04.01183200,009.71690600,2,1
FLLS,"Lusaka Intl",-15.32854725,28.457296,2,1
FMCH,"Prince Said Ibrahim",-11.5336625,43.2718485,1,1
FMEE,"St Denis Gillot",-20.89198700,055.51345600,2,1
FMMI,"Ivato",-18.79695,47.4788065,1,1
FMMT,"Toamasina",-18.1095165,49.392536,1,1
FNLU,"Luanda 4 De Fevereiro",-8.8583765,13.23117775,2,1
FOOL,"Leon M Ba",00.45775400,009.41013000,1,1
